robot 0 path size is 191
21	24	195
99	30	200
45	43	186
55	53	181
31	37	198
105	46	193
71	47	196
53	40	182
53	53	192
20	21	192
50	48	198
109	63	197
62	68	195
47	52	191
29	35	182
11	15	192
52	58	192
38	43	191
67	73	193
62	68	194
72	75	183
38	43	191
101	75	192
114	22	187
18	21	198
51	20	194
50	53	190
108	28	182
81	35	197
14	19	196
55	58	190
70	44	196
25	31	198
27	33	193
13	17	193
35	37	197
71	70	185
79	79	188
34	34	189
44	44	181
40	39	195
19	19	184
45	45	197
37	37	200
81	35	200
35	35	185
34	37	180
86	67	186
79	43	198
19	27	183
34	37	190
30	33	180
74	55	198
33	33	199
66	54	187
13	19	199
104	84	199
105	55	188
71	49	189
34	37	187
49	52	198
92	38	195
62	40	189
31	35	198
32	35	183
44	47	198
47	53	195
47	53	186
49	55	190
59	64	184
24	29	195
43	49	196

robot 5 path size is 160
8	55	190
60	60	194
75	49	200
110	32	187
54	53	180
88	36	181
95	7	192
69	9	193
117	39	194
29	32	181
81	42	197
56	56	195
31	31	184
35	35	193
45	44	181
41	41	182
88	12	199
25	28	196
24	27	189
40	43	183
46	46	189
53	56	190
84	7	188
32	32	199
40	38	198
19	19	190
37	37	185
53	53	185
33	34	197
31	31	187
40	38	189
33	36	186
29	29	192
86	60	186
79	44	195
60	59	183
97	23	182
55	55	199
34	34	200
56	22	197
7	8	200
26	26	185
78	46	191
37	37	190
38	39	192
46	29	182
74	51	189
41	42	197
89	4	192
61	61	189
57	27	190
49	44	195
54	54	187
68	58	181
56	56	195
29	29	186
46	35	195
30	31	183
42	44	192
84	32	184
51	54	195
23	24	181
59	60	183
28	28	185
63	15	192
24	24	200
54	32	180
76	24	189
33	33	182
68	31	180
50	50	181
17	17	187
36	36	190
29	29	200
25	25	188
10	10	183
50	47	181
15	18	183
43	49	191
73	48	192
114	34	190
71	42	196
46	46	199
86	30	189
44	47	197
66	52	190
38	38	185
59	59	195
22	22	200
72	53	198
63	55	200
31	31	193
37	37	191
55	34	196
48	30	182
47	33	199
86	30	182
65	56	199
78	46	194
22	26	187
46	47	187
58	61	196
38	41	187
62	57	195
70	30	184
86	42	200
26	26	192
83	30	199
63	15	197
68	62	182
35	38	189
24	29	188
20	23	199
88	7	193
39	39	199
28	28	197
40	40	188
39	39	182
49	49	197
42	42	191
50	50	193
45	43	180
17	17	192
53	51	182
25	25	196
92	60	187
25	25	200
23	23	185
42	42	184
64	14	196
69	55	198
84	32	195
70	8	196
138	20	196
37	40	191
68	50	195
37	37	193
80	20	197
39	39	191
31	31	181
55	55	192
82	48	182
26	32	184
39	40	181
37	40	200
69	49	187
46	46	183
25	25	191
58	58	180
47	33	184
66	52	187
60	60	200
68	56	200
55	60	191
85	8	199
26	26	190
30	30	194
77	65	194
28	31	181
85	5	195

robot 6 path size is 175
9	22	187
68	45	182
10	9	198
33	33	195
122	33	194
33	38	186
45	48	185
68	73	194
7	10	182
73	41	188
47	47	185
42	42	181
53	52	184
74	43	186
28	28	182
20	23	185
102	82	199
33	33	180
40	40	194
44	45	187
47	45	191
50	50	198
76	47	183
35	36	188
26	29	198
68	68	193
42	45	187
44	48	191
60	51	196
52	52	186
50	52	180
86	32	182
38	38	196
73	41	200
36	36	190
36	36	186
38	38	191
42	42	199
27	27	188
33	33	188
22	22	191
33	34	197
30	29	184
14	14	187
12	12	187
45	45	190
45	45	186
47	47	194
17	17	181
29	29	198
29	29	200
30	30	189
33	33	198
43	42	189
45	45	181
37	37	195
60	57	200
7	12	186
13	14	190
14	17	198
22	25	185
22	27	195
26	32	180
33	36	185
52	52	192
25	28	181
32	37	186
39	42	191
43	46	195
43	46	189
44	47	193
34	38	196
40	43	192
44	47	192
76	36	190
49	49	188
15	15	198
56	56	193
38	38	195
49	49	197
45	45	191
75	42	198
37	41	183
37	42	185
25	28	184
43	46	196
47	50	190
70	42	188
43	43	189
50	50	197
28	28	181
51	51	195
51	51	183
42	42	193
62	55	198
32	35	182
30	34	189
23	26	200
37	40	186
34	35	184
40	43	186
47	50	186
72	42	195
31	31	186
48	48	191
36	36	185
48	47	184
43	43	181
8	9	186
54	54	197
50	50	186
78	39	193
37	42	189
55	56	187
53	56	183
52	53	195
76	38	189
38	38	200
